author_surname,author,title,publication_year,rating,period_of_my_life,genre,subgenres
Kay,Guy Gavriel Kay,Ysabel,2007,Liked,Teens,Fiction,{Fantasy}
Keyes,Daniel Keyes,Flowers for Algernon,1966,Liked,20s,Fiction,{Science-Fiction}
King,Stephen King,On {Writing},2000,Loved,20s,Non-Fiction,"{Memoirs}, {Writing}"
Kleist,Heinrich von Kleist,The Marquise of O,1808,Liked,20s,Fiction,{Literature}
Larson,Gary Larson,The Far Side Gallery,1984,Liked,Teens,Fiction,{Comics}
Lee,Harper Lee,To Kill a Mockingbird,1960,Liked,Teens,Fiction,{Literature}
Le Guin,Ursula K. Le Guin,A Wizard of Earthsea,1968,Liked,20s,Fiction,{Fantasy}
Le Guin,Ursula K. Le Guin,The Ones Who Walk Away from Omelas,1973,Liked,20s,Fiction,{Science-Fiction}
Le Guin,Ursula K. Le Guin,The Left Hand of Darkness,1969,Liked,20s,Fiction,{Science-Fiction}
Levi,Primo Levi,Survival in Auschwitz,1947,Liked,20s,Non-Fiction,"{Memoirs}, {History}"
Lewis,C.S. Lewis,The Chronicles of Narnia,1956,Liked,Childhood,Fiction,{Fantasy}
Lightman,Alan Lightman,Einstein's Dreams,1992,Liked,Teens,Fiction,{Science-Fiction}
MacDonald,George MacDonald,The Princess and the Goblin,1872,Indifferent,20s,Fiction,{Fantasy}
Martel,Yann Martel,Life of Pi,2001,Loved,Teens,Fiction,{Literature}
McCarthy,Cormac McCarthy,The Road,2006,Loved,20s,Fiction,"{Literature}, {Westerns}"
McGrayne,Sharon Bertsch McGrayne,The Theory That Would Not Die,2011,Disliked,20s,Non-Fiction,"{History}, {Science}, {Statistics}"
McMurtry,Larry McMurtry,Lonesome Dove,1985,Loved,20s,Fiction,"{Westerns}, {Literature}"
Medina,John Medina,Brain Rules,2008,Liked,20s,Non-Fiction,"{Science}, {Psychology}, {Learning}, {Self-Help}"
Miller,Chanel Miller,Know My Name,2019,Loved,20s,Non-Fiction,{Memoirs}
Miller,Arthur  Miller,The Crucible,1953,Indifferent,Teens,Fiction,{Plays}
Millhauser,Steven Millhauser,Martin Dressler,1996,Liked,Teens,Fiction,{Literature}
Morrison,Toni Morrison,Beloved,1987,Liked,20s,Fiction,{Literature}
Moss,Stephen Moss,The Rookie,n,Liked,20s,Non-Fiction,{Memoirs}
Murakami,Haruki Murakami,Sputnik Sweetheart,1999,Disliked,20s,Fiction,{Literature}
Márquez,Gabriel García Márquez,One Hundred Years of Solitude,1967,Liked,20s,Fiction,{Literature}
Nicholson,William Nicholson,The Wind on Fire Trilogy,2002,Liked,Childhood,Fiction,{Fantasy}
Nielsen,Michael Nielsen,Reinventing Discovery,2011,Loved,20s,Non-Fiction,"{Philosophy}, {Science}"
Nimmo,Jenny Nimmo,Children of the Red King 1-5,2002-2006,Loved,Childhood,Fiction,{Fantasy}
O'Shaughnessy,Patrick O'Shaughnessy,Millennial Money,2014,Liked,20s,Non-Fiction,{Personal Finance}
Oakley,Barbara Oakley,A Mind for Numbers,2014,Liked,20s,Non-Fiction,"{Learning}, {Self-Help}"
Olson,Randy Olson,"Houston, We Have a Narrative",2015,Liked,20s,Non-Fiction,"{Writing}, {Self-Help}, {Science}"
Oppel,Kenneth Oppel,Silverwing,1997,Liked,Childhood,Fiction,{Literature}
Orwell,George Orwell,Animal Farm,1945,Liked,20s,Fiction,{Literature}
Orwell,George Orwell,1984,1949,Liked,20s,Fiction,{Literature}
Palahniuk,Chuck Palahniuk,Fight Club,1996,Liked,Teens,Fiction,{Literature}
Paolini,Christopher Paolini,The Inheritance Cycle 1-3,2002,Liked,Teens,Fiction,{Fantasy}
Patterson,James Patterson,Maximum Ride,2005,Liked,Teens,Fiction,{Science-Fiction}
Paulsen,Gary Paulsen,Brian's Saga 1-2,1996,Liked,Teens,Fiction,{Literature}
Pinker,Steven Pinker,How the Mind Works,1997,Loved,20s,Non-Fiction,"{Psychology}, {Science}"
Pinker,Steven Pinker,The Better Angels of Our Nature,2010,Liked,20s,Non-Fiction,{History}
Pinker,Steven Pinker,The Language Instinct,1994,Loved,20s,Non-Fiction,"{Psychology}, {Science}"
Pinker,Steven Pinker,The Sense of Style,2014,Loved,20s,Non-Fiction,"{Writing}, {Self-Help}"
Pullman,Philip Pullman,His Dark Materials,2000,Loved,Teens,Fiction,{Fantasy}
Ritchie,Stuart Ritchie,Intelligence,2015,Liked,20s,Non-Fiction,"{Psychology}, {Science}"
Robbins,Anthony Robbins,MONEY Master the Game,2014,Liked,20s,Non-Fiction,"{Self-Help}, {Personal Finance}"
Rowling,J.K. Rowling,Harry Potter 1-7,2007,Loved,Childhood,Fiction,{Fantasy}
Rushdie,Salman Rushdie,The Satanic Verses,1988,Liked,Teens,Fiction,{Literature}
Sachar,Louis Sachar,Holes,1998,Liked,Childhood,Fiction,{Literature}
Saint-Exupéry,Antoine de Saint-Exupéry,The Little Prince,1943,Liked,Teens,Fiction,{Literature}
Salinger,J.D. Salinger,The Catcher in the Rye,1951,Liked,Teens,Fiction,{Literature}
Sapolsky,Robert M. Sapolsky,Behave,2017,Disliked,20s,Non-Fiction,"{Science}, {Psychology}"
Schneier,Bruce Schneier,Data and Goliath,2015,Liked,20s,Non-Fiction,"{Philosophy}, {Science}, {Computer Science & Programming}"
Shakespeare,William Shakespeare,Hamlet,1603,Liked,Teens,Fiction,{Plays}
Shakespeare,William Shakespeare,Romeo and Juliet,1595,Liked,Teens,Fiction,{Plays}
Shakespeare,William Shakespeare,A Midsummer Night's Dream,1595,Liked,Teens,Fiction,{Plays}
Shelley,Mary Wollstonecraft Shelley,Frankenstein,1818,Liked,20s,Fiction,{Literature}
Silver,Nate Silver,The Signal and the Noise,2012,Liked,20s,Non-Fiction,"{Philosophy}, {Science}, {Statistics}"
Simler & Hanson,Kevin Simler & Robin Hanson,The Elephant in the Brain,2017,Liked,20s,Non-Fiction,"{Psychology}, {Philosophy}"
Smith,Huston Smith,The World's Religions,1958,Indifferent,Teens,Non-Fiction,{Religion}
Spong,John Shelby Spong,A New Christianity for a New World,2001,Liked,Teens,Non-Fiction,{Religion}
Steinbeck,John Steinbeck,Of Mice and Men,1937,Liked,20s,Fiction,{Literature}
Stephens-Davidowitz,Seth Stephens-Davidowitz,Everybody Lies,2017,Liked,20s,Non-Fiction,"{Philosophy}, {Science}"
Stephenson,Neal Stephenson,Snow Crash,1992,Disliked,20s,Fiction,{Science-Fiction}
